organizationid,thrown,location,entrypoint,line,count
sample_orgid,Too many query rows: 50001,ITA_IFM_VFC038_AnagUtils,/apex/ITA_IFM_ContactToAccount,613,1
sample_orgid,Apex CPU time limit exceeded,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC222_VSAQuoteContainer/ACTION$confirmQuote,,1
sample_orgid,Too many queueable jobs added to the queue: 51,ITA_IFM_Case_Item_Trigger,/services/Soap/c/63.0,,1
sample_orgid,Apex CPU time limit exceeded,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC148_SWAQuoteContainer/ACTION$confirmQuote,75,1
sample_orgid,Apex CPU time limit exceeded,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC450_SmartTracking/ACTION$startTrack,112,1
sample_orgid,wrts_prcgvr:Too many SOQL queries: 101,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC033_SelfCareVas/ACTION$confirmAction,67,1
sample_orgid,CPU_ENFORCED 15000,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC148_SWAQuoteContainer/ACTION$confirmQuote,,1
sample_orgid,CPU_ENFORCED 15000,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC450_SmartTracking/ACTION$startTrack,,1
sample_orgid,CPU_ENFORCED 15000,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC007_LayoutGestioneScarto/ACTION$handleActivityAction,,1
sample_orgid,Apex heap size too large,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC054_StatoContiForm.retrieveCustomerClassification),23,1
sample_orgid,Apex heap size too large,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(NE__b2wgin_DataRetrieve.checkoutCart),5583,1
sample_orgid,Too many query rows: 50001,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC199_PRASUBQuoteContainer/ACTION$confirmQuote,93,1
sample_orgid,Apex heap size too large,ITA_IFM_Doc_Outbound_TriggerHandler,/mockRequest/QueuedApexJob,30,1
sample_orgid,Apex CPU time limit exceeded,,/services/Soap/c/63.0,71,1
sample_orgid,Too many SOQL queries: 101,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC011_ReclamoFinalRespContr/ACTION$callDocumentale,1062,1
sample_orgid,Too many SOQL queries: 101,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC011_ReclamoFinalRespContr/ACTION$callDocumentale,751,1
sample_orgid,wrts_prcgvr:Too many SOQL queries: 101,ITA_IFM_NE_OrderItem_Trigger,/services/Soap/c/65.0,,1
sample_orgid,SandSIV:Too many SOQL queries: 101,VOC_ContactHandler,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,55,1
sample_orgid,Apex CPU time limit exceeded,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC222_VSAQuoteContainer/ACTION$confirmQuote,1183,1
sample_orgid,Apex heap size too large,ITA_IFM_Queueable_028_InvokeDocument_SWA,/mockRequest/QueuedApexJob,75,1
sample_orgid,Too many SOQL queries: 101,ITA_IFM_Case_Item_Trigger,/services/Soap/c/63.0,,1
sample_orgid,Too many query rows: 50001,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC098_AssetStatoConti/ACTION$getInvoicesList,154,1
sample_orgid,Maximum stack depth reached: 4,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC098_AssetStatoConti/ACTION$getInvoicesList,154,1
sample_orgid,Apex heap size too large,ITA_IFM_StateMachineQueue,/mockRequest/QueuedApexJob,79,1
sample_orgid,Too many SOQL queries: 101,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC241_FiberSaleQuoteContainer/ACTION$confirmQuote,73,1
